region	farm number	sample no.	sample date	opening pods date	Cut white beans 	drying start date	drying end date	moisture	awb number	date shipped	Result flavanols (%)	Results Cadmium deshelled beans (mg/kg)	Results Lead deshelled beans (mg/kg)	Results Lead shells (mg/kg)	Cadmium soil (mg/kg)	Soil ph	Violet	Slaty	Other
E	58.0	E.58.5	2017-03-09	2017-03-10		2017-03-10	2017-03-14	8.0	7570715110.0	2017-03-17	8.7	0.18							
E	58.0	E.58.6	2017-04-03	2017-04-05		2017-04-05	2017-04-10	7.5	4648462092.0	2017-04-13	7.7	0.19							
E	58.0	E.58.7	2017-04-20	2017-04-21		2017-04-21	2017-04-26	6.5	6014077086.0	2017-05-05	7.5	0.17							
E	60.0	E.60.1	2016-08-30	2016-08-31		2016-08-31	2016-09-02	6.8	4071423425.0	2016-09-07	7.19	0.31			0.02	6.36			
E	60.0	E.60.2	2016-10-20	2016-10-21		2016-10-21	2016-10-24	6.5	5551207200.0	2016-10-28	7.6	0.17							
E	60.0	E.60.3	2016-11-29	2016-11-30		2016-11-30	2016-12-02	7.0	4914911142.0	2016-12-07	9.2	0.298							
E	60.0	E.60.4	2016-12-29	2016-12-30		2016-12-20	2016-01-03	7.5	2709727086.0	2017-01-06	7.29	0.18							
E	62.0	E.62.1	2016-09-01	2016-09-02		2016-09-02	2016-09-07	7	4071423425.0	2016-09-07	8.3	0.15			0.05	6.21			
E	64.0	E.64.1	2016-09-01	2016-09-02		2016-09-02	2016-09-07	7.5	4071423425.0	2016-09-07	8.18	1.2			0.05	6.35			
E	66.0	E.66.1	2016-09-01	2016-09-02		2016-09-02	2016-09-07	7	4071423425.0	2016-09-07	7.0	1.3			0.05	6.33			
E	66.0	E.66.2	2016-10-03	2016-10-05		2016-10-05	2016-10-07	8	4006887872.0	2016-10-12	8.1	1.81							
E	68.0	E.68.1	2016-09-06	2016-09-07		2016-09-07	2016-09-09	7.0	4071520051.0	2016-09-21	7.0	0.82			0.06	5.85			
E	68.0	E.68.2	2016-10-03	2016-10-05		2016-10-05	2016-10-07	7.5	4006887872.0	2016-10-12	7.4	0.73							
E	68.0	E.68.3	2016-10-27	2016-10-28		2016-10-28	2016-10-31	8.0	3048134471.0	2016-11-09	7.79	0.88							
E	68.0	E.68.4	2016-11-28	2016-11-29		2016-11-29	2016-12-02	6.5	4914911142.0	2016-12-07	9.0	0.9			0.11	5.24			
E	68.0	E.68.5	2016-12-27	2016-12-28		2016-12-28	2016-12-30	7.0	9061209463.0	2017-01-11	7.9	1.41							
E	68.0	E.68.6	2017-01-26	2017-01-27		2017-01-27	2017-01-31	8.0	6868917801.0	2017-02-15	8.9	1.3							
E	70.0	E.70.1	2016-09-06	2016-09-07		2016-09-07	2016-09-09	6.4	4071520051.0	2016-09-21	6.0	0.4			0.04	6.07			
E	70.0	E.70.2	2016-10-06	2016-10-07		2016-10-07	2016-10-11	8.0	9237179092.0	2016-10-18	8.71	0.33							
E	70.0	E.70.3	2016-11-10	2016-11-11		2016-11-11	2016-11-14	6.0	3090417842.0	2016-11-18	8.02	0.24							
E	70.0	E.70.4	2016-12-06	2016-12-07		2016-12-07	2016-12-09	7.0	5247817271.0	2016-12-16	7.61	0.27			0.12	5.68			
E	70.0	E.70.5	2017-01-04	2017-01-06		2017-01-06	2017-01-10	7.5	3794649563.0	2017-01-20	7.5	0.37							
E	72.0	E.72.1	2016-09-08	2016-09-09		2016-09-09	2016-09-14	6.5	2653222051.0	2016-09-28	8.51	0.17			0.06	5.8			
E	72.0	E.72.2	2016-10-06	2016-10-07		2016-10-07	2016-10-11	8.0	9237179092.0	2016-10-18	8.69	0.72							
E	74.0	E.74.1	2016-09-08	2016-09-09		2016-09-09	2016-09-14	7.5	4071471795.0	2016-09-14	7.27	0.7			0.04	5.73			
E	74.0	E.74.2	2016-10-12	2016-10-14		2016-10-14	2016-10-18	8.0	5551207200.0	2016-10-28	8.19	0.54							
E	74.0	E.74.3	2016-11-08	2016-11-09		2016-11-09	2016-11-11	7.5	3090417842.0	2016-11-18	8.6	0.56							
E	74.0	E.74.4	2016-12-05	2016-12-07		2016-12-07	2016-12-09	7.0	5247817271.0	2016-12-16	8.0	0.44			0.14	5.43			
E	74.0	E.74.5	2017-01-03	2017-01-04		2017-01-04	2017-01-09	7.5	3794649563.0	2017-01-20	8.29	0.44							
E	76.0	E.76.1	2016-09-08	2016-09-09		2016-09-09	2016-09-14	7.5	4071471795.0	2016-09-14	7.01	0.41			0.05	6.49			
E	76.0	E.76.2	2016-10-11	2016-10-12		2016-10-12	2016-10-14	6.5	2891297791.0	2016-10-21	8.2	0.28							
E	76.0	E.76.3	2016-11-14	2016-11-16		2016-11-16	2016-11-18	7.5	1917178631.0	2016-11-24	7.9	0.25							
E	76.0	E.76.4	2016-12-12	2016-12-14		2016-12-14	2016-12-16	7.0	9239998445.0	2016-12-23	8.7	0.23			0.1	6.07			
E	76.0	E.76.5	2017-01-11	2017-01-13		2017-01-13	2017-01-18	7.0	9927933023.0	2017-02-03	8.9	0.23							
E	76.0	E.76.6	2017-02-15	2017-02-17		2017-02-17	2017-02-21	7.6	3006500162.0	2017-03-03	5.9	0.18							
E	76.0	E.76.7	2017-03-02	2017-03-03		2017-03-03	2017-03-08	7.6	5483672482.0	2017-03-10	8.1	0.191							
E	76.0	E.76.8	2017-03-15	2017-03-16		2017-03-16	2017-03-22	7.5	6661436143.0	2017-03-24	7.81	0.17							
E	78.0	E.78.1	2016-09-12	2016-09-13		2016-09-13	2016-09-16	8.0	4071520053.0	2016-09-21	7.25	0.47			0.03	6.19			
E	78.0	E.78.2	2016-10-11	2016-10-12		2016-10-12	2016-10-14	7.8	9237179092.0	2016-10-18	7.91	0.36							
E	78.0	E.78.3	2016-11-14	2016-11-16		2016-11-16	2016-11-18	7.0	1917178631.0	2016-11-24	8.7	0.37							
E	78.0	E.78.4	2016-12-12	2016-12-14		2016-12-14	2016-12-16	6.5	3358900134.0	2016-12-30	9.1	0.87			0.09	5.4			
E	78.0	E.78.5	2017-01-11	2017-01-13		2017-01-13	2017-01-18	8.0	3147625460.0	2017-02-08	8.7	0.531							
E	78.0	E.78.6	2017-02-15	2017-02-17		2017-02-17	2017-02-21	8.0	3006500162.0	2017-03-03	5.901	0.55							
E	78.0	E.78.7	2017-03-02	2017-03-03		2017-03-03	2017-03-08	8.0	7570715110.0	2017-03-17	7.8	0.44							
E	78.0	E.78.8	2017-03-15	2017-03-16		2017-03-16	2017-03-22	8.0	6661436143.0	2017-03-24	9.2	0.44							
E	80.0	E.80.1	2016-09-12	2016-09-13		2016-09-13	2016-09-16	7.0	4071520053.0	2016-09-21	8.1	0.48			0.03	6.53			
E	80.0	E.80.2	2016-10-11	2016-10-12		2016-10-12	2016-10-14	7.5	2891297791.0	2016-10-21	8.1	0.68							
E	80.0	E.80.3	2016-11-14	2016-11-16		2016-11-16	2016-11-18	7.0	1917178631.0	2016-11-24	8.4	0.43							
E	80.0	E.80.4	2016-12-12	2016-12-14		2016-12-14	2016-12-16	7.0	9239998445.0	2016-12-23	8.5	0.41			0.09	5.85			
E	80.0	E.80.5	2017-01-11	2017-01-13		2017-01-13	2017-01-18	7.0	3147625461.0	2017-02-08	9.301	0.38							
E	80.0	E.80.6	2017-02-15	2017-02-17		2017-02-17	2017-02-20	7.8	3006500162.0	2017-03-03	6.2	0.44							
E	80.0	E.80.7	2017-03-02	2017-03-03		2017-03-03	2017-03-08	7.5	7570715110.0	2017-03-17	8.0	0.37							
E	80.0	E.80.8	2017-03-15	2017-03-16		2017-03-16	2017-03-22	7.5	6661436143.0	2017-03-24	8.4	0.381							
E	82.0	E.82.1	2016-09-12	2016-09-13		2016-09-13	2016-09-16	6.8	4071520054.0	2016-09-21	7.8	0.44			0.02	6.37			
E	82.0	E.82.2	2016-10-11	2016-10-12		2016-10-12	2016-10-14	6.8	9237179092.0	2016-10-18	7.71	0.48							
E	82.0	E.82.3	2016-11-14	2016-11-16		2016-11-16	2016-11-18	7.8	1917178631.0	2016-11-24	8.69	0.49							
E	82.0	E.82.4	2016-12-12	2016-12-14		2016-12-14	2016-12-16	6.5	9239998445.0	2016-12-23	8.8	0.5			0.15	5.76			
E	82.0	E.82.5	2017-01-11	2017-01-13		2017-01-13	2017-01-18	7.8	3147625462.0	2017-02-08	8.2	0.381							
E	82.0	E.82.6	2017-02-15	2017-02-17		2017-02-17	2017-02-20	8.0	3006500162.0	2017-03-03	5.7	0.32							
E	82.0	E.82.7	2017-03-02	2017-03-03		2017-03-03	2017-03-08	7.6	5483672482.0	2017-03-10	8.21	0.241							
E	82.0	E.82.8	2017-03-15	2017-03-16		2017-03-16	2017-03-22	7.0	6661436143.0	2017-03-24	9.1	0.34							
E	82.0	E.82.9	2017-03-29	2017-03-30		2017-03-30	2017-04-04	7.8	4089202681.0	2017-04-07	8.3	0.391							
E	82.0	E.82.10	2017-04-17	2017-04-19		2017-04-19	2017-04-24	7.0	6014077086.0	2017-05-05	7.4	0.36							
E	84.0	E.84.1	2016-09-14	2016-09-16		2016-09-16	2016-09-20	8.0	2653222051.0	2016-09-28	7.79	0.19			0.03	6.3			
E	84.0	E.84.2	2016-10-10	2016-10-12		2016-10-12	2016-10-14	7.5	9237179092.0	2016-10-18	7.9	0.64							
E	84.0	E.84.3	2016-11-21	2016-11-23		2016-11-23	2016-11-25	7.0	5520094753.0	2016-11-30	8.7	0.34							
E	84.0	E.84.4	2016-12-19	2016-12-21		2016-12-21	2016-12-23	6.0	2709727086.0	2017-01-06	7.81	0.451							
E	84.0	E.84.5	2017-01-26	2017-01-27		2017-01-27	2017-01-30	8.0	6868917801.0	2017-02-15	8.0	0.57							
E	86.0	E.86.1	2016-09-14	2016-09-16		2016-09-16	2016-09-20	6.5	2653222051.0	2016-09-28	6.8	0.5			0.04	5.98			
E	86.0	E.86.2	2016-10-10	2016-10-12		2016-10-12	2016-10-14	6.0	2891297791.0	2016-10-21	6.8	0.76							
E	86.0	E.86.3	2016-11-07	2016-11-09		2016-11-09	2016-11-11	7.4	3090417842.0	2016-11-18	8.7	0.79							
E	86.0	E.86.4	2016-12-06	2016-12-07		2016-12-07	2016-12-09	6.6	5247817271.0	2016-12-16	7.9	0.53			0.1	4.87			
E	86.0	E.86.5	2017-01-04	2017-01-06		2017-01-06	2017-01-10	8.0	3794649563.0	2017-01-20	8.71	0.52							
E	88.0	E.88.1	2016-09-14	2016-09-16		2016-09-16	2016-09-20	6.5	2653222051.0	2016-09-28	6.3	0.59			0.08	6.1			
E	88.0	E.88.2	2016-10-13	2016-10-14		2016-10-14	2016-10-18	6.0	1280374944.0	2016-10-24	6.1	0.29							
E	88.0	E.88.3	2016-11-14	2016-11-16		2016-11-16	2016-11-18	7.0	1917178631.0	2016-11-24	7.79	0.41							
E	88.0	E.88.4	2016-12-15	2016-12-16		2016-12-16	2016-12-20	7.0	3358900134.0	2016-12-30	8.11	1.1			0.13	5.59			
E	88.0	E.88.5	2017-01-24	2017-01-26		2017-01-26	2017-01-30	8.0	6868917801.0	2017-02-15	7.5	0.79							
E	90.0	E.90.1	2016-09-15	2016-09-16		2016-09-16	2016-09-20	7.5	2653222051.0	2016-09-28	6.32	0.75			0.03	6.3			
E	90.0	E.90.2	2016-10-17	2016-10-19		2016-10-19	2016-10-21	6.6	5551207200.0	2016-10-28	7.81	0.5							
E	90.0	E.90.3	2016-11-24	2016-11-25		2016-11-25	2016-11-28	6.8	4914911142.0	2016-12-07	7.92	0.7							
E	92.0	E.92.1	2016-09-15	2016-09-16		2016-09-16	2016-09-20	6.5	2653222051.0	2016-09-28	6.29	0.49			0.07	6.33			
E	92.0	E.92.2	2016-10-12	2016-10-14		2016-10-14	2016-10-18	6.8	2891297791.0	2016-10-21	8.23	0.58							
E	92.0	E.92.3	2016-11-08	2016-11-09		2016-11-09	2016-11-11	8.0	3090417842.0	2016-11-18	8.69	0.77							
E	92.0	E.92.4	2016-12-01	2016-12-02		2016-12-02	2016-12-06	8.0	5247817271.0	2016-12-16	8.4	0.66			0.08	5.58			
E	92.0	E.92.5	2016-12-27	2016-12-28		2016-12-28	2016-12-30	6.4	9061209463.0	2017-01-11	7.3	0.6							
E	94.0	E.94.1	2016-09-15	2016-09-16		2016-09-16	2016-09-20	8.0	2653222051.0	2016-09-28	6.0	0.69			0.05	6.06			
E	94.0	E.94.2	2016-10-06	2016-10-07		2016-10-07	2016-10-11	6.5	4006887872.0	2016-10-12	8.2	0.41							
E	94.0	E.94.3	2016-10-27	2016-10-28		2016-10-28	2016-10-31	8.0	3048134471.0	2016-11-09	7.35	0.37							
E	94.0	E.94.4	2016-11-24	2016-11-25		2016-11-25	2016-11-28	7.0	5520094753.0	2016-11-30	7.8	0.66			0.1	6.11			
E	94.0	E.94.5	2016-12-27	2016-12-28		2016-12-28	2016-12-30	7.0	9061209463.0	2017-01-11	7.6	0.47							
E	94.0	E.94.6	2017-01-23	2017-01-25		2017-01-25	2017-01-30	8.0	6868917801.0	2017-02-15	7.1	0.56							
E	96.0	E.96.1	2016-09-19	2016-09-21		2016-09-21	2016-09-26	7.2	4089568943.0	2016-10-03	8.2	0.32			0.07	6.89			
E	96.0	E.96.2	2016-10-13	2016-10-14		2016-10-14	2016-10-18	7.0	5551207200.0	2016-10-28	8.31	0.24							
E	96.0	E.96.3	2016-11-07	2016-11-09		2016-11-09	2016-11-11	7.2	3090417842.0	2016-11-18	8.8	0.55							
E	96.0	E.96.4	2016-12-06	2016-12-07		2016-12-07	2016-12-08	7.0	5247817271.0	2016-12-16	7.0	0.42			0.1	5.61			
E	96.0	E.96.5	2017-01-31	2017-02-02		2017-02-02	2017-02-07	7.5	2493072175.0	2017-02-22	4.5	0.51							
E	96.0	E.96.6	2017-02-20	2017-02-22		2017-02-22	2017-02-24	7.0	3006500162.0	2017-03-03	2.8	0.45							
E	96.0	E.96.7	2017-03-16	2017-03-17		2017-03-17	2017-03-22	6.6	6661436143.0	2017-03-24	7.7	0.171							
E	98.0	E.98.1	2016-09-19	2016-09-21		2016-09-21	2016-09-26	6.5	2653222051.0	2016-09-28	6.7	0.49			0.09	6.78			
E	98.0	E.98.2	2016-10-17	2016-10-19		2016-10-19	2016-10-21	6.5	5551207200.0	2016-10-20	7.51	0.46							
E	98.0	E.98.3	2016-11-24	2016-11-25		2016-11-25	2016-11-28	6.8	4914911142.0	2016-12-07	7.2	0.4							
E	98.0	E.98.4	2017-01-10	2017-01-11		2017-01-11	2017-01-13	7.5	9927933022.0	2017-02-03	8.4	0.33							
E	98.0	E.98.5	2017-02-08	2017-02-10		2017-02-10	2017-02-14	7.6	2493072175.0	2017-02-22	7.2	0.34							
E	100.0	E.100.1	2016-09-19	2016-09-21		2016-09-21	2016-09-26	7.0	2653222051.0	2016-09-28	7.31	0.37			0.03	6.32			
E	100.0	E.100.2	2016-10-12	2016-10-14		2016-10-14	2016-10-18	7.0	1280374944.0	2016-10-24	7.5	0.31							
E	100.0	E.100.3	2016-11-10	2016-11-11		2016-11-11	2016-11-14	6.0	3090417842.0	2016-11-18	7.72	0.44							
E	100.0	E.100.4	2017-01-30	2017-02-01		2017-02-01	2017-02-06	6.5	6868917801.0	2017-02-15	5.9	0.63							
E	102.0	E.102.1	2016-09-20	2016-09-21		2016-09-21	2016-09-26	7.5	2653222051.0	2016-09-28	7.4	1.41			0.08	6.67			
E	104.0	E.104.1	2016-09-20	2016-09-21		2016-09-21	2016-09-26	6.8	2653222051.0	2016-09-28	7.9	0.42			0.02	6.18			
E	104.0	E.104.2	2016-10-13	2016-10-14		2016-10-14	2016-10-18	7.5	1280374944.0	2016-10-24	8.22	0.45							
E	104.0	E.104.3	2016-11-10	2016-11-11		2016-11-11	2016-11-14	6.8	3090417842.0	2016-11-18	8.5	0.461							
E	104.0	E.104.4	2016-12-05	2016-12-07		2016-12-07	2016-12-09	7.4	5247817271.0	2016-12-16	8.09	0.371							
E	104.0	E.104.5	2017-01-04	2017-01-06		2017-01-06	2017-01-10	7.5	3794649563.0	2017-01-20	7.2	0.35							
E	106.0	E.106.1	2016-09-20	2016-09-21		2016-09-21	2016-09-26	7.0	2653222051.0	2016-09-28	6.2	0.95			0.08	5.89			
E	108.0	E.108.1	2016-10-04	2016-10-05		2016-10-05	2016-10-07	7.5	4006887872.0	2016-10-12	7.7	0.31			0.19	6.59			
E	108.0	E.108.2	2016-11-08	2016-11-09		2016-11-09	2016-11-11	7.0	3090417842.0	2016-11-18	8.1	0.45							
E	108.0	E.108.3	2016-12-08	2016-12-09		2016-12-09	2016-12-12	7.5	5247817271.0	2016-12-16	7.71	0.35							
E	108.0	E.108.4	2017-01-05	2017-01-06		2017-01-06	2017-01-10	7.5	3794649563.0	2017-01-20	7.49	0.521							
E	110.0	E.110.1	2016-10-04	2016-10-05		2016-10-05	2016-10-07	7.5	4006887872.0	2016-10-12	7.79	0.11			0.07	6.83			
E	110.0	E.110.2	2016-11-08	2016-11-09		2016-11-09	2016-11-11	8.0	3090417842.0	2016-11-18	8.71	0.08							
E	110.0	E.110.3	2016-12-08	2016-12-09		2016-12-09	2016-12-12	8.0	5247817271.0	2016-12-16	7.81	0.14							
E	110.0	E.110.4	2017-01-05	2017-01-06		2017-01-06	2017-01-10	7.5	3794649563.0	2017-01-20	7.33	0.14							
E	112.0	E.112.1	2016-10-13	2016-10-14		2016-10-14	2016-10-18	6	5551207200.0	2016-10-28	7.61	0.35			0.66	5.33			
E	112.0	E.112.2	2016-11-08	2016-11-09		2016-11-09	2016-11-11	8	3090417842.0	2016-11-18	8.4	0.29							
E	112.0	E.112.3	2016-12-06	2016-12-07		2016-12-07	2016-12-09	6	5247817271.0	2016-12-16	7.3	0.3							
E	112.0	E.112.4	2017-01-31	2017-02-02		2017-02-02	2017-02-07	7	3208655100.0	2017-02-20	7.201	0.46							
E	128.0	E.128.1	2017-01-05	2017-01-06		2017-01-06	2017-01-10	7.5	3794649563.0	2017-01-20	7.61	0.29							
E	130.0	E.130.1	2017-02-09	2017-02-09		2017-02-09	2017-02-13	8.0	3006500162.0	2017-03-03	7.0	0.46							
E	130.0	E.130.2	2017-03-21	2017-03-22		2017-03-22	2017-03-28	7.5	4089034810.0	2017-03-31	8.71	0.35							
E	132.0	E.132.1	2017-02-15	2017-02-17		2017-02-17	2017-02-20	8.0	3006500162.0	2017-03-03	5.701	0.29							
E	132.0	E.132.2	2017-03-21	2017-03-22		2017-03-22	2017-03-27	7.0	4089034810.0	2017-03-31	8.6	0.27							
E	132.0	E.132.3	2017-04-12	2017-04-13		2017-04-13	2017-04-19	7.8	1646858861.0	2017-04-21	7.3	0.31							
E	134.0	E.134.1	2017-02-16	2017-02-17		2017-02-17	2017-02-20	7.8	3006500162.0	2017-03-03	6.3	0.23							
E	134.0	E.134.2	2017-03-20	2017-03-22		2017-03-22	2017-03-28	8.0	4089034810.0	2017-03-31	8.7	0.28							
E	134.0	E.134.3	2017-04-20	2017-04-21		2017-04-21	2017-04-26	6.5	6014077086.0	2017-05-05	6.7	0.33							
E	136.0	E.136.1	2017-02-16	2017-02-17		2017-02-17	2017-02-20	7.0	3006500162.0	2017-03-03	4.7	0.28							
E	136.0	E.136.2	2017-03-23	2017-03-24		2017-03-24	2017-03-29	6.5	4089202681.0	2017-04-07	7.3	0.3							
E	136.0	E.136.3	2017-04-19	2017-04-21		2017-04-21	2017-04-26	6.5	6014077086.0	2017-05-05	6.71	0.3							
E	138.0	E.138.1	2017-02-24	2017-02-24		2017-02-24	2017-03-02	7.5	5483672482.0	2017-03-10	7.8	1.2							
E	138.0	E.138.2	2017-03-27	2017-03-28		2017-03-28	2017-03-31	7.4	4089202681.0	2017-04-07	8.8	1.5							
E	138.0	E.138.3	2017-04-24	2017-04-26		2017-04-26	2017-05-02	7.5	6014077086.0	2017-05-05	7.8	1.8							
E	140.0	E.140.1	2017-03-06	2017-03-07		2017-03-07	2017-03-10	7.5	7570715110.0	2017-03-17	7.8	0.58							
E	140.0	E.140.2	2017-04-20	2017-04-21		2017-04-21	2017-04-26	7.4	6014077086.0	2017-05-05	6.9	0.59							
E	142.0	E.142.1	2017-03-13	2017-03-15		2017-03-15	2017-03-20	7.4	6661436143.0	2017-03-24	8.31	1.1							
E	144.0	E.144.1	2017-03-16	2017-03-17		2017-03-17	2017-03-22	7.0	6661436143.0	2017-03-24	7.6	0.33							
E	144.0	E.144.2	2017-04-04	2017-04-05		2017-04-05	2017-04-10	7.5	4648462092.0	2017-04-13	6.0	0.51							
E	144.0	E.144.3	2017-04-25	2017-04-26		2017-04-26	2017-05-02	7.5	6014077086.0	2017-05-05	6.8	0.31							
E	146.0	E.146.1	2017-03-21	2017-03-22		2017-03-22	2017-03-27	7.0	4089034810.0	2017-03-31	8.3	0.53							
E	146.0	E.146.2	2017-04-19	2017-04-21		2017-04-21	2017-04-26	6.5	6014077086.0	2017-05-05	6.6	0.78							
E	148.0	E.148.1	2017-03-21	2017-03-22		2017-03-22	2017-03-28	7.5	4089034810.0	2017-03-31	8.4	0.531							
E	148.0	E.148.2	2017-04-25	2017-04-26		2017-04-26	2017-05-02	7.5	6014077086.0	2017-05-05	7.4	0.65							
E	150.0	E.150.1	2017-03-23	2017-03-24		2017-03-24	2017-03-29	7.8	4089202681.0	2017-04-07	9.1	0.57							
F	57.0	F.57.1	2016-08-17	2016-08-18		2016-08-18	2016-08-19	6.5	471339392.0	2016-08-25	6.6	0.22	0.02	0.28	0.02	7.07			
F	57.0	F.57.2	2016-09-27	2016-09-27		2016-09-27	2016-09-29	7.0	2261972742.0	2016-10-07	7.45	0.41							
F	57.0	F.57.3	2016-10-27	2016-10-27		2016-10-27	2016-10-31	8.0	3048134471.0	2016-11-09	7.42	0.3							
F	57.0	F.57.4	2016-11-30	2016-12-01		2016-12-01	2016-12-02	7.0	4914911142.0	2016-12-07	7.1	0.302			0.057	7.02			
F	57.0	F.57.5	2016-12-22	2016-12-23		2016-12-23	2016-12-27	7.0	2709727086.0	2017-01-06	8.01	0.23							
F	57.0	F.57.6	2017-01-16	2017-01-18		2017-01-18	2017-01-20	7.0	3147625470.0	2017-02-08	8.301	0.231							
F	57.0	F.57.7	2017-03-29	2017-03-30		2017-03-30	2017-04-04	7.2	4648462092.0	2017-04-13	7.8	0.33							
G	114.0	G.114.1	2016-12-13	2016-12-14		2016-12-14	2016-12-16	7	9239998445.0	2016-12-23	8.09	0.21			0.08	4.86			
G	116.0	G.116.1	2016-12-13	2016-12-14		2016-12-14	2016-12-16	7.6	9239998445.0	2016-12-23	7.8	0.29			0.11	5.39			
G	118.0	G.118.1	2016-12-13	2016-12-14		2016-12-14	2016-12-16	7	3358900134.0	2016-12-30	9.11	0.231			0.13	4.55			
G	120.0	G.120.1	2016-12-14	2016-12-16		2016-12-16	2016-12-20	6.6	9239998445.0	2016-12-23	8.3	0.12			0.09	5.85			
G	122.0	G.122.1	2016-12-14	2016-12-16		2016-12-16	2016-12-20	7.5	9239998445.0	2016-12-23	7.22	0.43			0.13	5.9			
G	124.0	G.124.1	2016-12-14	2016-12-16		2016-12-16	2016-12-20	7.5	9239998445.0	2016-12-23	8.1	0.1			0.15	5.54			
G	126.0	G.126.1	2016-12-14	2016-12-16		2016-12-16	2016-12-20	7.6	9239998445.0	2016-12-23	8.79	0.38			0.11	5.31			
