"lon","lat","fnum","lat","lon","elev","zone"
680376.424663272,-232744.002820556,"37",-2.10485,-79.378133,45.1792182922363,1
583187.072334814,-245258.917783165,"75",-2.218733,-80.251883,121.667930603027,2
646121.292051008,-245160.919117322,"87",-2.21745,-79.685983,7.56546211242676,4
644826.533138132,-246079.30649053,"89",-2.225767,-79.697617,3.10092377662659,4
667734.550572277,-209600.08147705,"47",-1.89565,-79.491967,6.50118017196655,1
688487.379392883,-219440.656930371,"49",-1.984467,-79.30535,26.3582916259766,1
688611.64372812,-224811.220607805,"51",-2.033033,-79.304183,45.046802520752,1
692554.660662792,-198218.64228898,"61",-1.792517,-79.268983,100.233039855957,1
685811.792303174,-200044.222293177,"63",-1.809083,-79.329567,17.3155174255371,1
688291.317443094,-201915.317952247,"65",-1.825983,-79.307267,21.8038425445557,1
692776.563938274,-194869.985883642,"67",-1.762233,-79.267017,184.774993896484,1
691324.397693384,-192983.229715859,"69",-1.745183,-79.280083,110.814720153809,1
690338.988003538,-189491.740713294,"71",-1.713617,-79.288967,76.4367752075195,1
693169.970897886,-194693.420736642,"91",-1.760633,-79.263483,226.345016479492,1
684424.164050854,-200669.59370669,"93",-1.81475,-79.342033,14.3818664550781,1
686638.447515658,-117276.999601257,"2",-1.060583,-79.322683,94.5646209716797,3
658353.003500789,-119558.928909246,"4",-1.08135,-79.576817,65.8142242431641,3
656518.533736574,-119744.152966149,"6",-1.083033,-79.5933,63.5044021606445,3
651741.739927944,-108269.400001788,"8",-0.979267,-79.636267,75.8808059692383,3
668060.513494103,-124900.460423663,"10",-1.129617,-79.489567,66.3738861083984,3
667384.481803291,-126689.4454124,"12",-1.1458,-79.495633,62.955867767334,3
640604.204748257,-129316.953282364,"14",-1.169683,-79.736267,53.3536720275879,3
651237.364162909,-108013.023701623,"16",-0.97695,-79.6408,79.8524475097656,3
691165.979717185,-83631.758276956,"18",-0.7563,-79.28215,254.116973876953,3
665429.125659796,-134137.058524693,"20",-1.213167,-79.513167,41.3076057434082,3
665429.125659796,-134137.058524693,"22",-1.213167,-79.513167,41.3076057434082,3
675171.903068829,-135296.173960644,"24",-1.2236,-79.425617,67.0002059936523,3
666260.662238881,-133140.521424382,"26",-1.20415,-79.5057,36.8310737609863,3
651604.482043847,-108359.562643949,"30",-0.980083,-79.6375,79.8060455322266,3
651441.158301585,-108508.754628638,"32",-0.981433,-79.638967,77.8463363647461,3
666097.501123528,-102376.707577225,"34",-0.925917,-79.5073,96.3696975708008,3
668325.812983417,-105475.35721285,"36",-0.953933,-79.487267,95,3
676301.044792712,-139246.179432778,"38",-1.259317,-79.41545,51.749698638916,3
678999.600328607,-123868.702311993,"40",-1.120233,-79.391283,87.3853073120117,3
670591.439009956,-133642.372954803,"44",-1.208667,-79.466783,74.9487686157227,3
680363.817740093,-141290.558470387,"48",-1.277783,-79.378933,57.1763496398926,3
676399.525683698,-141982.92621546,"50",-1.284067,-79.41455,44.705265045166,3
682478.424566479,-138227.171164715,"52",-1.250067,-79.35995,78.8351898193359,3
682431.934123604,-132350.020804067,"54",-1.196917,-79.3604,96.8132400512695,3
684135.408050954,-131306.091848306,"56",-1.187467,-79.3451,86.5744857788086,3
690365.682127247,-132286.639806909,"58",-1.1963,-79.289117,178.936965942383,3
687762.02534756,-134104.048768454,"60",-1.21275,-79.3125,133.434234619141,3
686112.539401324,-140676.887136423,"66",-1.2722,-79.327283,94.4626617431641,3
678014.490851462,-92914.9175367226,"68",-0.8403,-79.400267,119.015480041504,3
677687.987992294,-97527.5796869997,"70",-0.882017,-79.403183,85.4364624023438,3
